Market,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
NYSE,XCO,EXCO Resources NL,1.98,$542.05M,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/xco
NYSE,XEC,Cimarex Energy Co,111.1,$9.73B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/xec
NYSE,XOM,Exxon Mobil Corporation,86.74,$363.85B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/xom
NYSE,XKE,Lehman ABS Corporation,6.0452,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/xke
NYSE,XL,XL Group plc,36.71,$9.37B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/xl
NASDAQ,XBKS,"Xenith Bankshares, Inc.",6.35,$82.06M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/xbks
NASDAQ,XIV,VelocityShares Daily Inverse VIX Short Term ETN,33.59,$521.11M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/xiv
NASDAQ,XOOM,Xoom Corporation,16.46,$636.99M,2013,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/xoom
NYSE,XON,Intrexon Corporation,49.5,$5.2B,2013,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/xon
NASDAQ,XENE,Xenon Pharmaceuticals Inc.,19.45,$275.83M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/xene
NASDAQ,XENT,"Intersect ENT, Inc.",25.26,$590.5M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/xent
NASDAQ,XLRN,Acceleron Pharma Inc.,41.34,$1.35B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
NASDAQ,XNCR,"Xencor, Inc.",16,$640.95M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/xncr
NASDAQ,XNPT,"XenoPort, Inc.",7.13,$447.46M,2005,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/xnpt
NASDAQ,XOMA,XOMA Corporation,3.655,$423.59M,1986,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/xoma
NASDAQ,XRAY,DENTSPLY International Inc.,52.64,$7.39B,1987,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/xray
NASDAQ,XTLB,XTL Biopharmaceuticals Ltd.,2.44,$28.41M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/xtlb
NYSE,XRX,Xerox Corporation,13.52,$15.04B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/xrx
NYSE,XEL,Xcel Energy Inc.,34.93,$17.67B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/xel
NASDAQ,XLNX,"Xilinx, Inc.",41.38,$10.82B,1990,Technology,Semiconductors,http://www.nasdaq.com/symbol/xlnx
NASDAQ,XNET,Xunlei Limited,6.85,$445.36M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/xnet
NASDAQ,XPLR,Xplore Technologies Corp,6.08,$51.55M,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/xplr
